City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Wasilla,90,US,2018-10-11,85,61.58,-149.44,48.92,1.59
Katastarion,20,GR,2018-10-11,72,37.83,20.77,68.0,7.74
Jalu,0,LY,2018-10-11,31,29.03,21.55,78.24,9.64
Hami,0,CN,2018-10-11,57,42.84,93.51,39.45,2.71
Rio Brilhante,12,BR,2018-10-11,83,-21.8,-54.54,84.9,9.42
Oleksandrivka,0,UA,2018-10-11,88,48.97,32.24,52.41,9.08
Hearst,92,CA,2018-10-11,100,49.69,-83.67,37.47,4.72
Moctezuma,76,MX,2018-10-11,51,29.81,-109.68,71.76,2.93
Ingleside,90,CA,2018-10-11,100,45.0,-74.99,73.4,5.82
Tilichiki,44,RU,2018-10-11,90,60.47,166.1,29.46,2.71
Carmen,80,PH,2018-10-11,61,7.2,124.8,82.02,0.47
Pisco,90,PE,2018-10-11,30,-13.71,-76.2,71.6,6.93
Avera,40,US,2018-10-11,56,33.19,-82.53,87.08,16.11
Sungaipenuh,76,ID,2018-10-11,96,-2.08,101.38,67.35,0.92
Alta Floresta,40,BR,2018-10-11,66,-9.87,-56.08,87.8,5.82
Talcahuano,20,CL,2018-10-11,67,-36.72,-73.12,59.0,8.05
Saint Anthony,90,US,2018-10-11,69,43.97,-111.68,44.96,3.36
Valleyview,56,CA,2018-10-11,72,55.07,-117.28,35.13,7.18
Eastlake,90,US,2018-10-11,46,32.66,-116.98,71.06,5.95
Ahuimanu,90,US,2018-10-11,97,21.44,-157.84,78.98,4.7
Kalach-na-Donu,0,RU,2018-10-11,71,48.69,43.52,50.0,8.95
Humaita,75,AR,2018-10-11,72,-24.93,-65.37,64.4,9.17
Totness,76,US,2018-10-11,76,33.74,-80.8,86.0,12.75
Nome,1,US,2018-10-11,44,30.04,-94.42,80.96,10.29
Batemans Bay,92,AU,2018-10-11,100,-35.71,150.18,52.59,4.05
Tateyama,92,JP,2018-10-11,100,36.66,137.31,53.94,2.71
Nanortalik,0,GL,2018-10-11,96,60.14,-45.24,35.4,16.8
Pashiya,88,RU,2018-10-11,82,58.43,58.26,37.2,18.14
Orhei,0,MD,2018-10-11,71,47.39,28.83,55.4,1.12
Los Llanos de Aridane,20,ES,2018-10-11,78,28.66,-17.92,75.2,4.7
Sao Gabriel da Cachoeira,32,BR,2018-10-11,66,-0.13,-67.09,89.22,2.93
Salinas,75,US,2018-10-11,67,36.67,-121.66,66.02,3.49
Pontes e Lacerda,44,BR,2018-10-11,82,-15.23,-59.33,83.64,6.73
Havre-Saint-Pierre,90,CA,2018-10-11,59,50.23,-63.6,35.6,4.7
Fare,24,PF,2018-10-11,100,-16.7,-151.02,78.24,12.1
North Bend,1,US,2018-10-11,43,43.41,-124.22,64.94,6.93
Ulagan,0,RU,2018-10-11,79,50.63,87.96,17.04,1.48
Den Helder,0,NL,2018-10-11,72,52.96,4.76,66.2,8.05
Mbandaka,68,CD,2018-10-11,78,0.05,18.26,80.58,1.7
Berck,88,FR,2018-10-11,72,50.41,1.57,68.0,5.82
Tevriz,92,RU,2018-10-11,99,57.51,72.4,43.14,10.2
Peto,20,MX,2018-10-11,69,20.13,-88.92,90.12,3.6
Lichinga,0,MZ,2018-10-11,78,-13.3,35.25,64.92,4.94
Verkhoyansk,12,RU,2018-10-11,88,67.55,133.39,13.98,2.48
Fort Nelson,75,CA,2018-10-11,69,58.81,-122.69,33.8,2.24
Ayan,32,TR,2018-10-11,93,40.67,33.6,42.42,2.04
Jiancheng,75,CN,2018-10-11,93,30.39,104.55,60.8,6.06
Mmathubudukwane,0,BW,2018-10-11,13,-24.61,26.43,84.2,5.82
Quatre Cocos,40,MU,2018-10-11,60,-20.21,57.76,73.4,18.34
Rio Gallegos,90,AR,2018-10-11,37,-51.62,-69.22,51.8,2.24
Faya,0,SA,2018-10-11,68,18.39,42.45,71.6,5.61
Romitan,0,UZ,2018-10-11,71,39.93,64.38,51.8,2.48
Flinders,0,AU,2018-10-11,76,-34.58,150.85,53.6,8.05
Kokopo,0,PG,2018-10-11,100,-4.34,152.27,78.24,4.72
Sisimiut,0,GL,2018-10-11,100,66.94,-53.67,23.61,1.92
Fortuna,0,ES,2018-10-11,78,38.18,-1.13,73.4,2.04
Bonthe,68,SL,2018-10-11,92,7.53,-12.5,78.69,4.16
Saldanha,12,PT,2018-10-11,68,41.42,-6.55,61.23,8.97
Victoria Point,75,AU,2018-10-11,88,-27.58,153.3,62.6,8.05
Luyang,0,CN,2018-10-11,66,31.88,117.26,53.6,6.71
Te Anau,88,NZ,2018-10-11,99,-45.41,167.72,33.96,8.41
Igrim,92,RU,2018-10-11,96,63.19,64.42,35.58,13.78
Yulin,0,CN,2018-10-11,46,38.3,109.75,37.47,6.62
Saedinenie,56,BG,2018-10-11,77,42.27,24.54,59.0,6.93
Lupiro,76,TZ,2018-10-11,48,-8.39,36.67,83.28,7.74
Chacarita,75,CR,2018-10-11,83,9.98,-84.77,73.4,9.17
Mingaora,8,PK,2018-10-11,65,34.78,72.36,48.18,2.93
Khetia,36,IN,2018-10-11,67,21.67,74.59,75.72,2.93
Greymouth,92,NZ,2018-10-11,100,-42.45,171.21,50.88,8.75
Morropon,8,PE,2018-10-11,44,-5.18,-79.97,81.3,2.71
Dhanaula,0,IN,2018-10-11,91,30.85,76.34,60.24,2.93
Ledyard,90,US,2018-10-11,100,41.44,-72.02,71.96,13.87
Zhanakorgan,8,KZ,2018-10-11,76,43.91,67.25,46.2,2.93
Mayskiy,90,RU,2018-10-11,72,43.63,44.06,62.6,2.24
Saint-Philippe,90,CA,2018-10-11,93,45.36,-73.48,54.5,12.75
Kalmunai,92,LK,2018-10-11,98,7.42,81.82,74.91,4.94
Tuatapere,88,NZ,2018-10-11,100,-46.13,167.69,42.24,22.5
Polyarnyy,0,RU,2018-10-11,92,69.2,33.45,30.2,2.24
Iquique,90,CL,2018-10-11,77,-20.22,-70.14,66.2,14.99
Ecoporanga,36,BR,2018-10-11,45,-18.37,-40.83,88.68,11.21
Gasa,92,BT,2018-10-11,64,27.91,89.73,17.58,1.36
Lagoa,75,PT,2018-10-11,83,37.14,-8.45,71.6,4.7
Luba,8,PH,2018-10-11,82,17.32,120.7,67.71,2.48
Lebowakgomo,0,ZA,2018-10-11,34,-24.3,29.54,78.8,4.7
Nisia Floresta,20,BR,2018-10-11,66,-6.09,-35.21,84.2,19.46
Moa,36,CU,2018-10-11,100,20.66,-74.95,75.45,2.48
Gilgit,8,PK,2018-10-11,56,35.92,74.31,28.38,0.02
Muskegon,90,US,2018-10-11,63,43.23,-86.25,48.92,17.22
Palmer,90,US,2018-10-11,79,61.6,-149.11,48.92,3.36
Djambala,56,CG,2018-10-11,68,-2.55,14.76,79.32,5.17
Guarapari,0,BR,2018-10-11,69,-20.67,-40.5,82.4,17.22
Naze,80,NG,2018-10-11,93,5.43,7.07,76.08,6.4
Lichuan,64,CN,2018-10-11,78,30.3,108.94,48.81,2.04
Kavaratti,36,IN,2018-10-11,100,10.57,72.64,83.82,11.77
Odienne,32,CI,2018-10-11,56,9.51,-7.57,85.8,5.39
Moerai,80,PF,2018-10-11,100,-22.43,-151.33,71.13,15.23
Nizwa,0,OM,2018-10-11,33,22.93,57.53,70.5,3.04
Eirunepe,80,BR,2018-10-11,71,-6.66,-69.87,86.16,2.93
Trelew,0,AR,2018-10-11,29,-43.25,-65.31,68.97,15.79
Aras,0,YE,2018-10-11,28,14.28,44.38,56.19,4.16
